Year,Violent_sum,Property_sum,City
2014,409,1806,Huntington Park
2014,72,1047,Industry
2014,783,2740,Inglewood
2014,18,169,Irwindale
2014,202,1737,Lakewood
2014,89,635,La Mirada
2014,136,440,La Puente
2014,46,820,La Verne
2014,157,398,Lawndale
2014,77,355,Lomita
2014,2304,12438,Long Beach
2014,19171,83139,Los Angeles
2014,401,1424,Lynwood
2014,37,878,Manhattan Beach
2014,88,250,Maywood
2014,47,718,Monrovia
2014,134,1449,Montebello
2014,91,1039,Monterey Park
2014,316,2001,Norwalk
2014,840,3219,Palmdale
2014,5,121,Palos Verdes Estates
2014,239,1408,Paramount
2014,394,3469,Pasadena
2014,275,1360,Pico Rivera
2014,777,4403,Pomona
2014,158,1447,Redondo Beach
2014,1,18,Rolling Hills
2014,7,114,Rolling Hills Estates
2014,147,1186,Rosemead
2014,69,631,San Dimas
2014,75,406,San Fernando
2014,83,555,San Gabriel
2014,5,221,San Marino
2014,74,1124,Santa Fe Springs
2014,338,3026,Santa Monica
2014,13,92,Sierra Madre
2014,40,500,Signal Hill
2014,120,647,South El Monte
2014,506,2687,South Gate
2014,30,475,South Pasadena
2014,45,428,Temple City
2014,155,2623,Torrance
2014,25,312,Vernon
2014,29,294,Walnut
2014,225,2832,West Covina
2014,239,2247,Whittier
2014,339,2116,Carson
2014,24,472,Rancho Palos Verdes
2014,18,306,La Canada-Flintridge
2014,891,3661,Lancaster
2015,168,1929,Alhambra
2015,68,1272,Arcadia
2015,84,468,Artesia
2015,12,56,Avalon
2015,173,1212,Azusa
2015,299,1442,Baldwin Park
2015,221,772,Bell
2015,373,1825,Bellflower
2015,137,782,Bell Gardens
2015,2,55,La Habra Heights
2015,6,195,Westlake Village
2015,99,1236,Beverly Hills
2015,1,10,Bradbury
2015,159,2656,Burbank
2015,64,985,Claremont
2015,93,1247,Commerce
2015,988,2410,Compton
2015,108,1129,Covina
2015,78,307,Cudahy
2015,156,1919,Culver City
2015,91,1899,Cerritos
2015,15,310,Agoura Hills
2015,280,1400,West Hollywood
2015,351,2925,Santa Clarita
2015,58,804,Diamond Bar
2015,335,2892,Downey
2015,72,367,Duarte
2015,400,2132,El Monte
2015,41,621,El Segundo
2015,301,1519,Gardena
2015,195,3513,Glendale
2015,55,1336,Glendora
2015,86,318,Hawaiian Gardens
2015,628,2482,Hawthorne
2015,44,585,Hermosa Beach
2015,15,272,Calabasas
2015,25,360,Malibu
2015,1,8,Hidden Hills
2015,386,2027,Huntington Park
2015,68,1050,Industry
2015,775,2612,Inglewood
2015,27,166,Irwindale
2015,222,2198,Lakewood
2015,74,857,La Mirada
2015,119,483,La Puente
2015,68,928,La Verne
2015,196,502,Lawndale
2015,67,401,Lomita
2015,2766,14337,Long Beach
2015,25156,93503,Los Angeles
2015,414,1419,Lynwood
2015,70,947,Manhattan Beach
2015,73,358,Maywood
2015,47,702,Monrovia
2015,158,1682,Montebello
2015,103,1349,Monterey Park
2015,400,1910,Norwalk
2015,830,2988,Palmdale
2015,7,169,Palos Verdes Estates
2015,283,1692,Paramount
2015,428,3693,Pasadena
2015,199,1451,Pico Rivera
2015,792,4507,Pomona
2015,185,1757,Redondo Beach
2015,1,13,Rolling Hills
2015,9,109,Rolling Hills Estates
2015,155,1247,Rosemead
2015,81,679,San Dimas
2015,94,509,San Fernando
2015,89,635,San Gabriel
2015,17,225,San Marino
2015,85,1254,Santa Fe Springs
2015,445,3834,Santa Monica
2015,11,117,Sierra Madre
2015,58,784,Signal Hill
2015,125,649,South El Monte
2015,561,3278,South Gate
2015,30,708,South Pasadena
2015,66,474,Temple City
2015,214,2881,Torrance
